#comment:								
#pole shoe :	16.00							
#amp level:	0							
#avg samples:	15							
#avg loops:	5							
#left detec:	out of plane							
#I	B	HallErr	avgDiff	errDiff	avgSum	errSum	avgR	errR
1.00000	57.58913	0.10536	0.02667	0.00170	0.07441	0.00004	0.17229	0.01315
0.90000	54.23538	0.33505	0.02295	0.00035	0.07447	0.00004	0.16425	0.01317
0.80000	49.49555	0.27012	0.02060	0.00023	0.07442	0.00005	0.13389	0.01488
0.70000	44.18348	0.38310	0.01798	0.00111	0.07446	0.00007	0.12713	0.01859
0.60000	39.47256	0.09226	0.01648	0.00124	0.07431	0.00005	0.07336	0.01278
0.50000	35.69387	0.26222	0.01386	0.00111	0.07438	0.00004	0.07642	0.00929
0.40000	31.61267	0.30931	0.01239	0.00108	0.07439	0.00006	0.07011	0.01744
0.30000	26.44173	0.41910	0.00913	0.00070	0.07442	0.00003	0.05675	0.01692
0.20000	21.93981	0.18342	0.00760	0.00073	0.07451	0.00004	0.07318	0.02503
0.10000	17.03678	0.10722	0.00478	0.00077	0.07441	0.00003	0.02506	0.01495
-0.00000	12.05943	0.39189	0.00338	0.00029	0.07450	0.00004	0.04242	0.01025
-0.10000	7.67863	0.31137	0.00268	0.00091	0.07445	0.00003	0.02310	0.01410
-0.20000	3.16425	0.37035	-0.00020	0.00097	0.07444	0.00005	-0.00118	0.02075
-0.30000	-1.66781	0.49649	-0.00164	0.00108	0.07443	0.00007	-0.01207	0.01907
-0.40000	-5.60090	0.30852	-0.00434	0.00060	0.07454	0.00004	0.00030	0.01615
-0.50000	-10.99167	0.32997	-0.00730	0.00100	0.07447	0.00005	-0.03790	0.02234
-0.60000	-15.55796	0.27726	-0.00759	0.00147	0.07452	0.00005	-0.02646	0.00848
-0.70000	-20.15258	0.43902	-0.01044	0.00021	0.07453	0.00005	-0.04195	0.01534
-0.80000	-24.99472	0.32345	-0.01141	0.00075	0.07442	0.00005	-0.08265	0.01601
-0.90000	-29.72046	0.40746	-0.01244	0.00082	0.07449	0.00006	-0.06887	0.02102
-1.00000	-33.56058	0.46799	-0.01447	0.00112	0.07448	0.00003	-0.08489	0.01535
-1.10000	-39.16051	0.36670	-0.01461	0.00168	0.07450	0.00005	-0.07975	0.01597
-1.20000	-43.71479	0.43855	-0.01912	0.00057	0.07454	0.00006	-0.09907	0.01679
-1.30000	-48.12205	0.25334	-0.01975	0.00078	0.07444	0.00006	-0.13271	0.01620
-1.40000	-52.23329	0.57446	-0.02227	0.00074	0.07451	0.00006	-0.12637	0.02543
-1.50000	-58.01208	0.62304	-0.02397	0.00070	0.07454	0.00004	-0.13157	0.00634
-1.60000	-61.15887	0.44723	-0.02550	0.00121	0.07448	0.00006	-0.15907	0.02656
-1.70000	-66.52749	0.22416	-0.02815	0.00096	0.07449	0.00004	-0.17317	0.01936
-1.80000	-71.18372	0.48695	-0.03045	0.00126	0.07449	0.00008	-0.18992	0.03018
-1.90000	-75.84858	0.38104	-0.03307	0.00073	0.07453	0.00008	-0.19407	0.02631
-2.00000	-80.57677	0.21593	-0.03380	0.00083	0.07446	0.00005	-0.22099	0.02457
-2.10000	-85.55016	0.43779	-0.03680	0.00071	0.07447	0.00004	-0.23871	0.01738
-2.20000	-90.45980	0.53097	-0.03970	0.00050	0.07449	0.00006	-0.25202	0.01336
-2.30000	-94.39223	0.19629	-0.04214	0.00102	0.07447	0.00006	-0.27216	0.02670
-2.40000	-99.33879	0.39865	-0.04588	0.00126	0.07454	0.00003	-0.27750	0.01294
-2.50000	-103.89084	0.22055	-0.05011	0.00053	0.07452	0.00007	-0.31211	0.02678
-2.60000	-108.49533	0.60948	-0.05285	0.00109	0.07442	0.00004	-0.36016	0.01302
-2.70000	-113.11714	0.47813	-0.05623	0.00083	0.07449	0.00008	-0.36315	0.03079
-2.80000	-118.24912	0.47457	-0.05729	0.00063	0.07441	0.00007	-0.39260	0.03018
-2.90000	-122.15876	0.37786	-0.05797	0.00081	0.07450	0.00004	-0.37109	0.02119
-3.00000	-127.51813	0.53046	-0.05915	0.00102	0.07456	0.00006	-0.36048	0.01992
-3.10000	-131.55014	0.16155	-0.05896	0.00066	0.07449	0.00006	-0.37898	0.01216
-3.20000	-136.88503	0.36942	-0.05978	0.00069	0.07450	0.00007	-0.38330	0.02806
-3.30000	-140.85538	0.29590	-0.05964	0.00119	0.07455	0.00004	-0.36748	0.02121
-3.40000	-145.71691	0.56625	-0.05943	0.00166	0.07448	0.00005	-0.38713	0.01419
-3.50000	-150.05048	0.49793	-0.05961	0.00056	0.07451	0.00004	-0.37719	0.00593
-3.60000	-155.37368	0.30602	-0.05964	0.00082	0.07456	0.00004	-0.36507	0.01079
-3.70000	-160.04630	0.40892	-0.05999	0.00171	0.07449	0.00005	-0.38849	0.02390
-3.80000	-164.76258	0.27292	-0.06287	0.00043	0.07460	0.00004	-0.37437	0.01870
-3.90000	-168.87657	0.45494	-0.06234	0.00065	0.07453	0.00006	-0.39190	0.00690
-4.00000	-173.49619	0.43475	-0.06004	0.00147	0.07455	0.00008	-0.37032	0.01356
-4.10000	-178.75921	0.54763	-0.06290	0.00097	0.07452	0.00004	-0.39816	0.01245
-4.20000	-181.77602	0.27543	-0.06342	0.00046	0.07455	0.00005	-0.39298	0.01084
-4.30000	-187.78087	0.48386	-0.06239	0.00059	0.07445	0.00007	-0.41468	0.02700
-4.40000	-191.85035	0.45898	-0.06364	0.00118	0.07453	0.00006	-0.40072	0.01761
-4.50000	-196.90032	0.37609	-0.06323	0.00147	0.07457	0.00004	-0.38556	0.01623
-4.60000	-201.13804	0.30362	-0.06326	0.00060	0.07457	0.00003	-0.38579	0.02144
-4.70000	-206.45250	0.20914	-0.06460	0.00113	0.07458	0.00007	-0.38989	0.02422
-4.80000	-210.75342	0.43269	-0.06410	0.00070	0.07450	0.00004	-0.41126	0.01398
-4.90000	-216.08497	0.46628	-0.06366	0.00051	0.07449	0.00003	-0.41083	0.02415
-5.00000	-219.54735	0.83691	-0.06271	0.00050	0.07453	0.00006	-0.39462	0.02854
-5.10000	-224.35113	0.36218	-0.06306	0.00069	0.07450	0.00005	-0.40434	0.01464
-5.20000	-228.65801	0.37795	-0.06352	0.00109	0.07439	0.00006	-0.44228	0.01351
-5.30000	-234.32585	0.21114	-0.06513	0.00039	0.07449	0.00004	-0.42200	0.00927
-5.40000	-237.52952	0.37298	-0.06562	0.00085	0.07453	0.00003	-0.41291	0.01322
-5.50000	-243.24509	0.50391	-0.06560	0.00085	0.07445	0.00004	-0.43884	0.02151
-5.60000	-247.06558	0.52252	-0.06502	0.00089	0.07454	0.00004	-0.40770	0.02526
-5.70000	-251.01503	0.41222	-0.06498	0.00069	0.07443	0.00006	-0.44098	0.01655
-5.80000	-256.72569	0.16244	-0.06674	0.00097	0.07449	0.00007	-0.43294	0.02616
-5.90000	-260.98115	0.43809	-0.06735	0.00086	0.07449	0.00003	-0.43577	0.01195
-6.00000	-265.81623	0.39434	-0.06676	0.00028	0.07454	0.00004	-0.41941	0.01893
-6.10000	-270.07140	0.21191	-0.06747	0.00081	0.07452	0.00005	-0.42920	0.02039
-6.20000	-274.04207	0.35896	-0.06609	0.00108	0.07440	0.00005	-0.45598	0.01575
-6.30000	-278.46761	0.10206	-0.06700	0.00072	0.07454	0.00004	-0.41858	0.01074
-6.40000	-284.44172	0.34513	-0.06785	0.00099	0.07448	0.00004	-0.44297	0.02123
-6.50000	-288.37256	0.42517	-0.06761	0.00143	0.07449	0.00009	-0.43895	0.02969
